Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
Garry's Mod,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\garrysmod\hl2.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Half-Life Deathmatch: Source,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\Half-Life 1 Source Deathmatch\hl2.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Half-Life Deathmatch: Source,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\Half-Life 1 Source Deathmatch\hl2.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Half-Life Launcher,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\half-life\hl.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Half-Life Launcher,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\half-life\hl.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hl.exe,,Privado, Público,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif\hl.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hl.exe,,Privado,Sí,Bloquear,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hl.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl.exe,,Privado,Sí,Bloquear,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hl.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl.exe,,Privado, Público,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif\hl.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hl.exe,,Privado,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif48\hl.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
